subject,date_time,ip,Qplace_1_age,Qreponse_1_age,Qplace_2_sex,Qreponse_2_sex,Qplace_25_NativeLang,Qreponse_25_NativeLang,Qplace_20_turk,Qreponse_20_turk,Qrt,Iid,Iname,Ireponse,Irt,Iplace,Gid,Gname,Gplace,Bid,Bname,Bplace
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103748,I,0.368,7.983,1,85227,NM-On-P-6-T-U,114,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103704,I,0.236,4.508,1,85183,NM-On-O-2-T-D,115,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103699,I,0.188,4.71,1,85178,DE-No-O-5-T-U,116,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103717,I,0.964,5.543,1,85196,UE-P-O-7-T-U,117,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103737,I,0.278,3.776,1,85216,UE-M-P-11-T-D,118,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103651,I,0.178,3.582,1,85130,NM-On-N-1-T-U,119,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103653,I,0.138,4.71,1,85132,NM-On-N-3-T-U,120,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103658,I,0.142,3.374,1,85137,UE-E-O-4-T-D,121,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103741,I,0.912,4.31,1,85220,UE-M-P-11-T-U,122,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103654,I,0.282,7.986,1,85133,NM-On-N-12-T-U,123,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103621,I,0.276,7.681,1,85100,NM-Ex-N-3-T-U,124,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103703,I,0.214,6.548,1,85182,NM-On-O-5-T-D,125,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103714,I,0.246,3.578,1,85193,UE-P-O-4-T-D,126,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103665,I,0.19,4.102,1,85144,NM-Ex-O-7-T-D,127,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103628,I,0.142,3.876,1,85107,DE-F-N-10-T-U,128,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103689,I,0.964,4.32,1,85168,DE-N-O-7-T-D,129,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103734,I,0.45,6.541,1,85213,NM-Ex-P-8-T-U,130,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103735,I,0.276,2.97,1,85214,UE-M-P-9-T-D,131,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103758,I,0.964,6.348,1,85237,UE-P-P-8-T-U,132,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103642,I,0.988,4.712,1,85121,DE-No-N-12-T-D,133,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103729,I,0.304,5.119,1,85208,NM-Ex-P-11-T-D,134,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103725,I,0.968,5.014,1,85204,UE-E-P-11-T-U,135,6606,target,2
